clause_text,clause_type
Waivers. No term or provision of this Agreement may be waived or modified unless such waiver or modification is in writing and signed by the party against whom such waiver or modification is sought to be enforced.,waivers
"Waivers. No waiver by either party of any default with respect to any provision, condition or requirement of this Agreement shall be deemed to be a continuing waiver in the future or a waiver of any other provisions, condition or requirement hereof, nor shall any delay or omission of any party to exercise any right hereunder in any manner impair the exercise of any such right accruing to it thereafter.",waivers
"Waivers. No waiver by Lessor of the Default or Breach of any term, covenant or condition hereof by Lessee, shall be deemed a waiver of any other term, covenant or condition hereof, or of any subsequent Default or Breach by Lessee of the same or of any other term, covenant or condition hereof. Lessor's consent to, or approval of, any act shall not be deemed to render unnecessary the obtaining of Lessor's consent to, or approval of, any subsequent or similar act by Lessee, or be construed as the basis of an estoppel to enforce the provision or provisions of this Lease requiring such consent. The acceptance of Rent by Lessor shall not be a waiver of any Default or Breach by Lessee. Any payment by Lessee may be accepted by Lessor on account of moneys or damages due Lessor, notwithstanding any qualifying statements or conditions made by Lessee in connection therewith, which such statements and/or conditions shall be of no force or effect whatsoever unless specifically agreed to in writing by Lessor at or before the time of deposit of such payment.",waivers
"Waivers. The failure of a party hereto at any time or times to require performance of any provision hereof shall in no manner affect its right at a later time to enforce the same. No waiver by a party of any condition or of any breach of any term, covenant, representation or warranty contained in this Agreement shall be effective unless in writing, and no waiver in any one or more instances shall be deemed to be a further or continuing waiver of any such condition or breach in other instances or a waiver of any other condition or breach of any other term, covenant, representation or warranty.",waivers
"Waivers. No failure or delay on the part of the Company in exercising any power, right or remedy under this Agreement shall operate as a waiver thereof, nor shall any single or partial exercise of any such power, right or remedy preclude any other or further exercise thereof or the exercise of any other power, right or remedy.",waivers
"Waivers. Except as provided in this Agreement, no action taken pursuant to this Agreement, including, without limitation, any investigation by or on behalf of any party, shall be deemed to constitute a waiver by the party taking such action of compliance with any representations, warranties, covenants or agreements contained in this Agreement. The waiver by any party hereto of a breach of any provision hereunder shall not operate or be construed as a waiver of any prior or subsequent breach of the same or any other provision hereunder.",waivers
"Waivers. No failure or delay on the part of the Servicer, the Seller, the Issuer or the Indenture Trustee in exercising any power or right hereunder (to the extent such Person has any power or right hereunder) shall operate as a waiver thereof, nor shall any single or partial exercise of any such power or right preclude any other or further exercise thereof or the exercise of any other power or right. No notice to or demand on any party hereto in any case shall entitle it to any notice or demand in similar or other circumstances. No waiver or approval by any party hereto under this Agreement shall, except as may otherwise be stated in such waiver or approval, be applicable to subsequent transactions. No waiver or approval under this Agreement shall require any similar or dissimilar waiver or approval thereafter to be granted hereunder.",waivers
"Waivers. The observance of any term of this Agreement may be waived (either generally or in a particular instance and either retroactively or prospectively) by the party entitled to enforce such term only by a writing signed by the party against which such waiver is to be asserted. Unless otherwise expressly provided herein, no delay on the part of any party hereto in exercising any right, power or privilege hereunder shall operate as a waiver thereof, nor shall any waiver on the part of any party hereto of any right, power or privilege hereunder operate as a waiver of any other right, power or privilege hereunder nor shall any single or partial exercise of any right, power or privilege hereunder preclude any other or further exercise thereof or the exercise of any other right, power or privilege hereunder.",waivers
"Waivers. No failure or delay on the part of Purchaser (or the Issuer as assignee of Purchaser, or the Trust Collateral Agent as assignee of the Issuer) or the Trustee in exercising any power, right or remedy under this Agreement shall operate as a waiver thereof, nor shall any single or partial exercise of any such power, right or remedy preclude any other or future exercise thereof or the exercise of any other power, right or remedy.",waivers
"Waivers. Any term or provision of this Agreement may be waived, or the time for its performance may be extended, by the party or parties entitled to the benefit thereof. Any such waiver shall be validly and sufficiently authorized for the purposes of this Agreement if, as to any party, it is authorized in writing by an authorized representative of such party. The failure of any party hereto to enforce at any time any provision of this Agreement shall not be construed to be a waiver of such provision, nor in any way to affect the validity of this Agreement or any part hereof or the right of any party thereafter to enforce each and every such provision. No waiver of any breach of this Agreement shall be held to constitute a waiver of any other or subsequent breach.",waivers
Waivers. The waiver by either party hereto of a breach or violation of any term or provision of this Agreement shall not operate nor be construed as a waiver of any subsequent breach or violation.,waivers
"Waivers. No failure on the part of either party to exercise, and no delay in exercising, any right or remedy hereunder shall operate as a waiver thereof; nor shall any single or partial exercise of any right or remedy hereunder preclude any other or further exercise thereof or the exercise of any other right or remedy granted hereby or by any related document or by law.",waivers
"Waivers. No delay or omission by either party hereto in exercising any right, power or privilege hereunder shall impair such right, power or privilege, nor shall any single or partial exercise of any such right, power or privilege preclude any further exercise thereof or the exercise of any other right, power or privilege.",waivers
"Waivers. A failure or delay of either Party to enforce any of the provisions hereof, to exercise any option which is herein provided, or to require performance of any of the provisions hereof shall in no way be construed to be a waiver of such provisions or options, and each Party, notwithstanding such failure, shall have the right thereafter to insist upon the performance of any and all of the provisions of this Agreement.",waivers
"Waivers. No waiver by Lessor of any provision hereof shall be deemed a waiver of any other provision hereof or of any subsequent breach by Lessee of the same or any other provision. Lessor's consent to, or approval of, any act shall not be deemed to render unnecessary the obtaining of Lessor's consent to or approval of any subsequent act by Lessee. The acceptance of rent hereunder by Lessor shall not be a waiver of any preceding breach by Lessee of any provision hereof, other than the failure of Lessee to pay the particular rent so accepted, regardless of Lessor's knowledge of such preceding breach at the time of acceptance of such rent.",waivers
"Waivers. The failure of any party to seek redress for violation of or to insist upon the strict performance of any covenant or condition of this Agreement shall not prevent a subsequent act, which would have originally constituted a violation, from having the effect of an original violation.",waivers
"Waivers. Each Guarantor waives, for the benefit of Beneficiaries: (a) any right to require Guarantied Party or the other Beneficiaries, as a condition of payment or performance by such Guarantor, to (i) proceed against Company, any other guarantor of the Guarantied Obligations or any other Person, (ii) proceed against or exhaust any security held from Company, any other guarantor of the Guarantied Obligations or any other Person, (iii) proceed against or have resort to any balance of any deposit account or credit on the books of any Beneficiary in favor of Company or any other Person, or (iv) pursue any other remedy in the power of any Beneficiary; (b) any defense arising by reason of the incapacity, lack of authority or any disability or other defense of Company including, without limitation, any defense based on or arising out of the lack of validity or the unenforceability of the Guarantied Obligations or any agreement or instrument relating thereto or by reason of the cessation of the liability of Company from any cause other than payment in full of the Guarantied Obligations; (c) any defense based upon any statute or rule of law which provides that the obligation of a surety must be neither larger in amount nor in other respects more burdensome than that of the principal; (d) any defense based upon Guarantied Party’s or any other Beneficiary’s errors or omissions in the administration of the Guarantied Obligations, except behavior that amounts to bad faith; (e) (i) any principles or provisions of law, statutory or otherwise, that are or might be in conflict with the terms of this Guaranty and any legal or equitable discharge of such Guarantor’s obligations hereunder, (ii) the benefit of any statute of limitations affecting such Guarantor’s liability hereunder or the enforcement hereof, (iii) any rights to set-offs, recoupments and counterclaims, and (iv) promptness, diligence and any requirement that any Beneficiary protect, secure, perfect or insure any Lien or any property subject thereto; (f) notices, demands, presentments, protests, notices of protest, notices of dishonor and notices of any action or inaction, including acceptance of this Guaranty, notices of default under the Credit Agreement, notices of default or early termination under any Lender Swap Agreement or any agreement or instrument related thereto, notices of any renewal, extension or modification of the Guarantied Obligations or any agreement related thereto, notices of any extension of cred...",waivers
"Waivers. Any Party may waive the terms and conditions of this Agreement, provided that such a waiver must be provided in writing and shall require the signatures of the Parties. No waiver by any Party in certain circumstances with respect to a breach by other Parties shall operate as a waiver by such a Party with respect to any similar breach in other circumstances.",waivers
Waivers. The failure of any Party to require strict performance by any other Party of any provision in this Agreement will not waive or diminish that Party’s right to demand strict performance thereafter of that or any other provision hereof.,waivers
"Waivers. No waiver by a party hereto shall be effective unless made in a written instrument duly executed by the party against whom such waiver is sought to be enforced, and only to the extent set forth in such instrument. Neither the waiver by any of the parties hereto of a breach or a default under any of the provisions of this Agreement, nor the failure of any of the parties, on one or more occasions, to enforce any of the provisions of this Agreement or to exercise any right or privilege hereunder shall thereafter be construed as a waiver of any subsequent breach or default of a similar nature, or as a waiver of any such provisions, rights or privileges hereunder.",waivers
"Waivers. (a) Prior to or at the Effective Time, PURCHASER, acting through its Board of Directors, chief executive officer or other authorized officer, shall have the right to waive any Default in the performance of any term of this Agreement by TARGET, to waive or extend the time for the compliance or fulfillment by TARGET of any and all of its obligations under this Agreement, and to waive any or all of the conditions precedent to the obligations of PURCHASER under this Agreement, except any condition which, if not satisfied, would result in the violation of any Law. No such waiver shall be effective unless in writing signed by a duly authorized officer of PURCHASER.",waivers
"Waivers. No waiver by the Executive at any time of any breach of, or compliance with, any provision of this Agreement to be performed by the Company shall be deemed a waiver of that or any other provision at any subsequent time.",waivers
Waivers. No delay or omission by the Company in exercising any right under this Agreement shall operate as a waiver of that or any other right. A waiver or consent given by the Company on any one occasion shall be effective only in that instance and shall not be construed as a bar or waiver of any right on any other occasion.,waivers
"Waivers. The failure or delay of any party at any time to require performance by another party of any provision of this Agreement, even if known, shall not affect the right of such party to require performance of that provision or to exercise any right, power or remedy hereunder, and any waiver by any party of any breach of any provision of this Agreement should not be construed as a waiver of any continuing or succeeding breach of such provision, a waiver of the provision itself, or a waiver of any right, power or remedy under this Agreement. No notice to or demand on any party in any case shall, of itself, entitle such party to any other or further notice or demand in similar or other circumstances.",waivers
"Waivers. (a) Except as otherwise provided for in this Agreement and to the fullest extent permitted by applicable law, each Borrower waives: (i) presentment, demand and protest, and notice of presentment, dishonor, intent to accelerate, acceleration, protest, default, nonpayment, maturity, release, compromise, settlement, extension or renewal of any or all Financing Documents, the Notes or any other notes, commercial paper, accounts, contracts, documents, Instruments, Chattel Paper and Guarantees at any time held by Lenders on which any Borrower may in any way be liable, and hereby ratifies and confirms whatever Lenders may do in this regard; (ii) all rights to notice and a hearing prior to Agent’s or any Lender’s taking possession or control of, or to Agent’s or any Lender’s replevy, attachment or levy upon, any Collateral or any bond or security which might be required by any court prior to allowing Agent or any Lender to exercise any of its remedies; and (iii) the benefit of all valuation, appraisal and exemption Laws. Each Borrower acknowledges that it has been advised by counsel of its choices and decisions with respect to this Agreement, the other Financing Documents and the transactions evidenced hereby and thereby.",waivers
