clause_text,clause_type
"WHEREAS the Trust is an open-end management investment company registered under the Investment Company Act of 1940, as amended (the ""1940 Act""); and",whereas
"WHEREAS highly competent persons have become more reluctant to serve publicly-held corporations as directors, officers or in other capacities unless they are provided with adequate protection through insurance or adequate indemnification against inordinate risks of claims and actions against them arising out of their service to and activities on behalf of such corporations;",whereas
"WHEREAS the Company desires the Warrant Agent to act on behalf of the Company, and the Warrant Agent is willing to so act, in connection with the issuance, registration, transfer, exchange, redemption and exercise of the Warrants; and",whereas
"WHEREAS the Company desires to provide for the form and provisions of the Warrants, the terms upon which they shall be issued and exercised, and the respective rights, limitation of rights, and immunities of the Company, the Warrant Agent, and the holders of the Warrants; and",whereas
"WHEREAS all acts and things have been done and performed which are necessary to make the Warrants, when executed on behalf of the Company and countersigned by or on behalf of the Warrant Agent, as provided herein, the valid, binding and legal obligations of the Company, and to authorize the execution and delivery of this Agreement.",whereas
"WHEREAS it is reasonable, prudent and necessary for the Company contractually to obligate itself to indemnify, hold harmless, exonerate and to advance expenses on behalf of, such persons to the fullest extent permitted by applicable law so that they will serve or continue to serve the Company free from undue concern that they will not be so protected against liabilities;",whereas
WHEREAS the Board has determined that the increased difficulty in attracting and retaining such persons is detrimental to the best interests of the Company’s stockholders and that the Company should act to assure such persons that there will be increased certainty of such protection in the future;,whereas
"WHEREAS this Agreement is a supplement to and in furtherance of the Charter and Bylaws of the Company and any resolutions adopted pursuant thereto, and shall not be deemed a substitute therefor, nor to diminish or abrogate any rights of Indemnitee thereunder;",whereas
"WHEREAS pursuant to Section 9.01 of the Indenture, the Trustee is authorized to execute and deliver this Supplemental Indenture.",whereas
WHEREAS the Indenture provides that under certain circumstances the Guaranteeing Subsidiary shall execute and deliver to the Trustee a supplemental indenture pursuant to which the Guaranteeing Subsidiary shall unconditionally guarantee all of the Issuer’s Obligations under the Notes and the Indenture on the terms and conditions set forth herein and under the Indenture (the “Guarantee”); and,whereas
WHEREAS the uncertainties relating to such insurance and to indemnification have increased the difficulty of attracting and retaining such persons;,whereas
WHEREAS the Company and the Trustee desire to enter into this Agreement to set forth the terms and conditions pursuant to which the Trustee shall hold the Property.,whereas
"WHEREAS the Fund is registered as an open-end management investment company under the 1940 Act and its shares are registered under the Securities Act of 1933, as amended (hereinafter the ""1933 Act""); and",whereas
"WHEREAS the American Depositary Receipts are to be substantially in the form of Exhibit A annexed hereto, with appropriate insertions, modifications and omissions, as hereinafter provided in this Deposit Agreement;",whereas
"WHEREAS the Fund is authorized to issue shares in separate series, with each such series representing interests in a separate portfolio of securities and other assets; and",whereas
"WHEREAS the Trust is registered with the U.S. Securities and Exchange Commission (the “SEC”) as an open-end management investment company under the Investment Company Act of 1940, as amended (the “1940 Act”);",whereas
"WHEREAS subject to the terms and conditions set forth in this Agreement and pursuant to Section 4(a)(2) of the Securities Act of 1933, as amended (the “Securities Act”), and Rule 506 promulgated thereunder, the Company desires to issue and sell to each Purchaser, and each Purchaser, severally and not jointly, desires to purchase from the Company, securities of the Company as more fully described in this Agreement.",whereas
