clause_text,clause_type
"WITNESSETH THAT. In consideration of the premises and of the mutual agreements herein contained, the Depositor, the Trustee, the Evaluator, the Portfolio Supervisor agree as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the premises and of the mutual agreements herein contained, the Depositor and the Trustee agree as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual agreements herein contained, the parties hereto agree as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual agreements contained in this Agreement, the parties to this Agreement agree as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual agreements herein contained, the Depositor and the Owner Trustee agree as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the promises and of the mutual agreements herein contained, the Depositor and the Trustee, agree as follows: PART I",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual covenants herein contained, the Fund, Adviser and the Portfolio Manager agree as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual agreements herein contained, the Seller, the Master Servicer and the Trustee agree as follows:",witnesseth-that
"WITNESSETH THAT. 1. The Trust hereby appoints the Advisor to act as investment advisor to the Trust on behalf of the series of the Trust established and designated by the Board of Trustees of the Trust (the ""Trustees"") on or before the date hereof, as listed on attached Schedule A (collectively, the ""Existing Series""), for the period and on the terms set forth herein. The Advisor accepts such appointment and agrees to render the services described in this Agreement for the compensation herein provided.",witnesseth-that
WITNESSETH THAT. The Authority and the Contractor do mutually agree as follows:,witnesseth-that
"WITNESSETH THAT. In consideration of the premises and of the mutual agreements herein contained, the Depositor, Evaluator, Supervisory Servicer and Trustee agree as follows: Part I",witnesseth-that
"WITNESSETH THAT. Reference is made to (i) the Credit Agreement dated as of even date hereof (as amended, supplemented or otherwise modified from time to time, the “Credit Agreement”), among Mortgagor, as Borrower (the “Borrower”), Mortgagee, as Administrative Agent (the “Administrative Agent”), Deutsche Bank Securities Inc. and Bank of America, N.A. as syndication agents, Wachovia Capital Markets, LLC and General Electric Capital Corporation as Co-Documentation Agents and the several financial institutions and other entities from time to time parties thereto (collectively, the “Lenders”), (ii) the Guaranty (as defined in the Credit Agreement),and (iii) the Security Agreement (as defined in the Credit Agreement). Capitalized terms used but not defined herein have the meanings given to them in the Credit Agreement. In the Credit Agreement, (i) the Lenders have agreed to make term loans (the “Term Loans”) and revolving credit loans (the “Revolving Loans”) to the Borrower, (ii) the Swingline Lender has agreed to make swingline loans to the Borrower (the “Swing Line Loans”, together with Term Loans and Revolving Loans, the “Loans”) and (iii) the L/C Issuers have issued or agreed to issue from time to time Letters of Credit for the account of the Borrower, in each case pursuant to, upon the terms, and subject to the conditions specified in, the Credit Agreement. Amounts paid in respect of Term Loans may not be reborrowed. Subject to the terms of the Credit Agreement, the Borrowers may borrow, prepay and reborrow Revolving Loans. The Credit Agreement provides that the sum of the principal amount of the Loans and the Letters of Credit from time to time outstanding and secured hereby shall not exceed $[ ]. [Mortgagor is an indirect wholly owned Subsidiary of West Corporation, a Delaware corporation (“West”), and will derive substantial benefit from the making of the Loans by the Lenders and the issuance of the Letters of Credit by the L/C Issuers. In order to induce the Lenders to make Loans and the L/C Issuers to issue Letters of Credit, the Mortgagor has agreed to guarantee, among other things, the due and punctual payment and performance of all of the obligations of the Borrowers under the Credit Agreement pursuant to the terms of the Guaranty and the Security Agreement.] The obligations of the Lenders to make Loans and of the L/C Issuers to issue Letters of Credit are conditioned upon, among other things, the execution and delivery by the Mortgagor of this Mortgage in the form ...",witnesseth-that
"WITNESSETH THAT. In consideration of the premises and of the mutual agreements herein contained, the parties hereto agree as follows:",witnesseth-that
WITNESSETH THAT. Each party agrees for the benefit of the other party and for the benefit of the Noteholders and the Credit Enhancer as follows.,witnesseth-that
WITNESSETH THAT. 1. Financial Agent shall keep the books of the Trust and compute the daily net asset value of shares of the Trust in accordance with instructions received from time to time from the Board of Trustees of the Trust; which instructions shall be certified to Financial Agent by the Trust's Secretary. Financial Agent shall report such net asset value so determined to the Trust and shall perform such other services as may be requested from time to time by the Trust as are reasonably incidental to Financial Agent's duties hereunder.,witnesseth-that
"WITNESSETH THAT. A. Experienced and competent persons have become more reluctant to serve companies as directors, managers or officers unless they are provided with adequate protection through insurance or adequate indemnification against inordinate risks of claims and actions against them arising out of their service to and activities on behalf of the entity;",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual promises and undertakings hereinafter set forth, the parties hereto agree as follows:",witnesseth-that
WITNESSETH THAT. In consideration of the agreements hereinafter contained the parties hereto agree as follows:,witnesseth-that
"WITNESSETH THAT. Each party hereto agrees as follows for the benefit of the other party and for the equal and ratable benefit of the Holders of the Issuer's Asset-Backed Notes, Series 200_-_ (the ""Notes"").",witnesseth-that
"WITNESSETH THAT. Reference is made to (i) the First Lien Credit Agreement dated as of even date hereof (as amended, supplemented or otherwise modified from time to time, the “Credit Agreement”), among STR Acquisition, Inc., a Delaware corporation (“Acquisition”), which substantially simultaneously with the execution hereof shall be merged with and into Specialized Technology Resources, Inc., a Delaware corporation (“STR”), with STR being the surviving entity (the “Borrower”), STR Holdings LLC, a Delaware limited liability company (“Holdings”), the lenders from time to time party thereto (the “Lenders”) and Credit Suisse, as administrative agent (in such capacity, the “Administrative Agent”) for the Lenders, collateral agent (in such capacity, the “Collateral Agent”) for the Secured Parties, swingline lender (in such capacity, the “Swingline Lender”) and issuing bank (in such capacity, the “Issuing Bank”) with respect to any letters of credit (the “Letters of Credit”) issued pursuant to the terms of the Credit Agreement and (ii) the First Lien Guarantee and Collateral Agreement dated as of even date hereof (as amended, supplemented or otherwise modified from time to time, the “Guarantee and Collateral Agreement”) among Acquisition, Holdings, the subsidiaries of Acquisition from time to time party thereto and Credit Suisse. Capitalized terms used but not defined herein have the meanings given to them in the Credit Agreement and the Guarantee and Collateral Agreement. In the Credit Agreement, (i) the Lenders have agreed to make term loans (the “Term Loans”) and revolving loans (the “Revolving Loans”) to the Borrower, (ii) the Swingline Lender has agreed to make swingline loans (the “Swingline Loans”, together with Term Loans and Revolving Loans, the “Loans”) to the Borrower and (iii) the Issuing Bank has issued or agreed to issue from time to time Letters of Credit for the account of the Borrower, in each case pursuant to, upon the terms, and subject to the conditions specified in, the Credit Agreement. Amounts paid in respect of Term Loans may not be reborrowed. Subject to the terms of the Credit Agreement, Borrower may borrow, prepay and reborrow Revolving Loans. The Credit Agreement provides that the sum of the principal amount of the Loans and the Letters of Credit from time to time outstanding and secured hereby shall not exceed $230,000,000, comprised of (a) a Term Loan in the aggregate principal amount not to exceed $185,000,000 to be advanced and fully funded on the d...",witnesseth-that
WITNESSETH THAT. Each party agrees for the benefit of the other party and for the benefit of the Secured Parties as follows.,witnesseth-that
"WITNESSETH THAT. IT IS AGREED, by and between the parties hereto, as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual agreements herein contained, the Depositor, the Master Servicer, the Securities Administrator and the Trustee agree as follows:",witnesseth-that
"WITNESSETH THAT. In consideration of the mutual covenants herein contained, Enterprise and the Adviser agree as follows:",witnesseth-that
WITNESSETH THAT. The parties hereto enter into the following Articles of Agreement:,witnesseth-that
"WITNESSETH THAT. In consideration of the mutual agreements herein contained, the Fund and State Street agree as follows:",witnesseth-that
WITNESSETH THAT. 1. The Fund hereby appoints the Adviser to act as investment adviser to the Fund for the period and on the terms set forth herein. The Adviser accepts such appointment and agrees to render the services described in this Agreement for the compensation herein provided.,witnesseth-that
