clause_text,clause_type
"WITNESSETH. That in consideration of the mutual covenants and agreements hereinafter contained, the parties hereto agree as follows:",witnesseth
"WITNESSETH. That in consideration of the mutual covenants herein contained, it is agreed as follows:",witnesseth
"WITNESSETH. In consideration of the mutual covenants hereinafter contained, it is hereby agreed by and between the parties hereto as follows:",witnesseth
"WITNESSETH. 1. The District hereby employs the Certified Personnel pursuant to Idaho Code § 33‐514(2)(c) for the duration of the 2020‐ 2021 school year, consisting of a period of 190 days, and agrees to pay the Certified Personnel for said services a sum of Forty One Thousand Dollars ($41,000), of which 1/12 shall be payable on the 25th day of the months September, year of 2020 to August year of 2021, inclusive, and such other monetary benefits as accorded to its certificated employees by the District.",witnesseth
"WITNESSETH. In consideration of the mutual promises and agreements herein contained and other good and valuable consideration, the receipt of which is hereby acknowledged, it is hereby agreed by and between the parties hereto as follows:",witnesseth
"WITNESSETH. 1. That the District hereby employs said Administrator to perform the duties of Driggs Elementary Principal so designated by the District and to perform such other duties as specified by the District at any time during the term hereof, provided that the Administrator is properly certified and endorsed to perform said duties for a period of one year (210 days per year) , beginning in the month and day of August, year of 2019, through the month and day of July, year of 2020, at a base salary of Seventy Nine Thousand Dollars and No Cents ($79,000) per year, plus any additional annual increments, and such other monetary benefits accorded by the District to employees under contract for this position which may be described in a separate addendum. Said salary shall be paid in equal monthly installments in the amount of $ 6583.33 on the 20th day of each month beginning in August, year of 2019, to July, year of 2020, inclusive.",witnesseth
"WITNESSETH. That, for and in consideration of the mutual promises hereinafter set forth, the Investment Company and FTIS agree as follows:",witnesseth
"WITNESSETH. For and in consideration of the premises and the purchase of the Securities by the Holders thereof, it is mutually agreed as follows:",witnesseth
WITNESSETH that for and in consideration of the mutual promises hereinafter set forth the Funds and Custodian agree as follows:,witnesseth
"WITNESSETH that in consideration of the premises and mutual benefits and covenants herein contained, it is agreed by and between the parties hereto as follows:",witnesseth
"WITNESSETH. IT IS AGREED, in consideration of the promises, covenants, performance, and mutual consideration herein as follows:",witnesseth
WITNESSETH. ARTICLE I,witnesseth
WITNESSETH. ARTICLE 1,witnesseth
"WITNESSETH. In consideration of the premises and mutual covenants contained herein and for other good and valuable consideration, the receipt, validity and sufficiency of which is hereby acknowledged, the parties agree as follows:",witnesseth
"WITNESSETH. That for and in consideration of the mutual promises hereinafter set forth, the parties hereto covenant and agree as follows:",witnesseth
"WITNESSETH. Owner hereby leases to Tenant and Tenant hereby hires from Owner the premises described in Article 40 hereof (hereinafter called the ""demised premises"") and shown on Exhibit A annexed hereto and made a part hereof in the building known as 57 West 58th Street, in the Borough of Manhattan, City of New York, for the term of twenty (20) years (or until such term shall sooner cease and expire as hereinafter provided) to commence on the first (1st) day of September nineteen hundred and eighty-three, and to end on the thirty-first (31st) day of August two thousand and three both dates inclusive, at an annual rental (herein called ""Fixed Minimum Rent"") of TWO HUNDRED TWENTY-FIVE ($225,000) DOLLARS subject to adjustment as hereinafter provided in Article 43 of this lease which Tenant agrees to pay in lawful money of the United States which shall be legal tender in payment of all debts and dues, public and private, at the time of payment, in equal monthly installments in advance on the first day of each month during said term, at the office of Owner or such other place as Owner may designate, without any set off or deduction whatsoever. The parties hereto, for themselves, their heirs, distributees, executors, administrators, legal representatives, successors and assigns, hereby covenant as follows:",witnesseth
"WITNESSETH that the Grantor, for and in consideration of the sum of Ten and No/100 Dollars ($10.00) and other good and valuable consideration, in hand paid at and before the sealing and delivery of these presents, the receipt of which is hereby acknowledged, has GRANTED, SOLD and CONVEYED, and by these presents does hereby GRANT, SELL and CONVEY unto the Grantee that certain real property located in __________ County, South Carolina, more particularly described on Exhibit “A” attached hereto and made a part hereof, TOGETHER WITH (i) all standing trees or timber located thereon, (ii) any improvements thereon, (iii) all right, title and interest in and to all gas, oil, minerals, coal, sand, gravel and all other substances or minerals of any kind or character underlying or relating to such property to the extent not retained by, or conveyed out by, Grantor’s predecessors in title, and (iv) all other privileges, appurtenances, easements and other rights appertaining to such property (collectively, the “Property”). The Property is being conveyed subject to the matters set forth on Exhibit “B” attached hereto and made a part hereof (the “Permitted Encumbrances”), reference to which shall not serve to reimpose the same. TO HAVE AND TO HOLD the Property, together with any and all rights and appurtenances thereto in anywise belonging to Grantor, unto Grantee, its successors and assigns, FOREVER, and Grantor does hereby bind itself and its successors and assigns to WARRANT AND FOREVER DEFEND all and singular the Property unto Grantee, its successors and assigns, against every person whosoever lawfully claiming or to claim the same or any part thereof, by, through or under Grantor, but not otherwise, subject to the Permitted Encumbrances. [Add Derivation Clause]",witnesseth
